evidence_page,relation,source,target
,publishes,company::r222_nvidia,report::r222_nvidia__20250__sustainabilityreport
,matched_to_source,report::r222_nvidia__20250__sustainabilityreport,source::NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf
,publishes,company::r223_stonex集团,report::r223_stonex集团__20240__other
,matched_to_source,report::r223_stonex集团__20240__other,source::StoneX_ESG_Report_08.26.2024.pdf
,publishes,company::r224_zurichinsurancegroup,report::r224_zurichinsurancegroup__20240__sustainabilityreport
,matched_to_source,report::r224_zurichinsurancegroup__20240__sustainabilityreport,source::ZURICH INSURANCE GROUP sustainability-report-2024.pdf
,publishes,company::r225_bouygues,report::r225_bouygues__20250__sustainabilityreport
,matched_to_source,report::r225_bouygues__20250__sustainabilityreport,source::BOUYGUES sustainability 20250402-ri-va-tds.pdf
,publishes,company::r226_mizuhofinancialgroup,report::r226_mizuhofinancialgroup__20240__datapack
,matched_to_source,report::r226_mizuhofinancialgroup__20240__datapack,source::MIZUHO FINANCIAL GROUP esg_databook_2024.pdf
,publishes,company::r227_daimlertruckholding,report::r227_daimlertruckholding__20240__esgreport
,matched_to_source,report::r227_daimlertruckholding__20240__esgreport,source::daimler-truck-esg-factbook-fy-2024.pdf
,publishes,company::r228_inggroup,report::r228_inggroup__20250__climatereport
,matched_to_source,report::r228_inggroup__20250__climatereport,source::ING GROUP Climate-Update-2025.pdf
,publishes,company::r230_bungeglobal,report::r230_bungeglobal__20250__sustainabilityreport
,matched_to_source,report::r230_bungeglobal__20250__sustainabilityreport,source::2025-Bunge-Global-Sustainability-Report.pdf
,publishes,company::r231_anheuserbuschinbev,report::r231_anheuserbuschinbev__20220__sustainabilityreport
,matched_to_source,report::r231_anheuserbuschinbev__20220__sustainabilityreport,source::20224-ANHEUSER-BUSCH INBEV-sustainability-report
,publishes,company::r234_panasonicholdings,report::r234_panasonicholdings__20250__sustainabilityreport
,matched_to_source,report::r234_panasonicholdings__20250__sustainabilityreport,source::2025_Sustainability Date Book PANASONIC HOLDINGS.pdf
,publishes,company::r235_conocophillips,report::r235_conocophillips__20240__sustainabilityreport
,matched_to_source,report::r235_conocophillips__20240__sustainabilityreport,source::2024-sustainability-report CONOCOPHILLIPS.pdf
,publishes,company::r236_pfizer,report::r236_pfizer__20240__impactreport
,matched_to_source,report::r236_pfizer__20240__impactreport,source::Pfizer_2024_Impact_Report_02JUN2025.pdf
,publishes,company::r241_tdsynnex公司,report::r241_tdsynnex公司__20240__other
,matched_to_source,report::r241_tdsynnex公司__20240__other,source::tdsynnex-fy2024-ccr-ada.pdf
,publishes,company::r244_allstate,report::r244_allstate__20240__sustainabilityreport
,matched_to_source,report::r244_allstate__20240__sustainabilityreport,source::2024_ALLSTATE SustainabilityReport_FINAL.pdf
,publishes,company::r246_ciscosystems,report::r246_ciscosystems__20240__other
,matched_to_source,report::r246_ciscosystems__20240__other,source::CISCO SYSTEMS purpose-report-2024.pdf
,publishes,company::r247_repsol,report::r247_repsol__20240__sustainabilityreport
,matched_to_source,report::r247_repsol__20240__sustainabilityreport,source::REPSOL consolidated-statement-non-financial-information-sustainability-information-2024.pdf
,publishes,company::r248_lenovogroup,report::r248_lenovogroup__20250__sustainabilityreport
,matched_to_source,report::r248_lenovogroup__20250__sustainabilityreport,source::FY2025-lenovo-sustainability-report.pdf
,publishes,company::r251_renault,report::r251_renault__20240__other
,matched_to_source,report::r251_renault__20240__other,source::RENAULT_Rapport_Climat_2024_GB_1920x1080pix_V1_prol_MEL.pdf
,publishes,company::r252_bancobradesco,report::r252_bancobradesco__20240__esgreport
,matched_to_source,report::r252_bancobradesco__20240__esgreport,source::2024  BANCO BRADESCO ESG Report.pdf
,publishes,company::r255_chartercommunications,report::r255_chartercommunications__20230__esgreport
,matched_to_source,report::r255_chartercommunications__20230__esgreport,source::2023 CHARTER COMMUNICATIONS esg-report.pdf
,publishes,company::r258_bharatpetroleum,report::r258_bharatpetroleum__20230__sustainabilityreport
,matched_to_source,report::r258_bharatpetroleum__20230__sustainabilityreport,source::BHARAT PETROLEUM sustainability-report-2023-24.pdf
,publishes,company::r259_abbvie,report::r259_abbvie__20240__esgreport
,matched_to_source,report::r259_abbvie__20240__esgreport,source::2024 abbvie-esg-action-report.pdf
,publishes,company::r260_newyorklifeinsurance,report::r260_newyorklifeinsurance__20240__other
,matched_to_source,report::r260_newyorklifeinsurance__20240__other,source::2024NEW YORK LIFE INSURANCE Corporate-Responsibility-Report.pdf
,publishes,company::r261_intel,report::r261_intel__20240__other
,matched_to_source,report::r261_intel__20240__other,source::INTEL CSR-2024-25-Full-Report.pdf
,publishes,company::r262_tjx公司,report::r262_tjx公司__20250__other
,matched_to_source,report::r262_tjx公司__20250__other,source::tjx-2025-global-corporate-responsibility-report.pdf
,classified_as,company::r222_nvidia,industry::C
,classified_as,company::r223_stonex集团,industry::J
,classified_as,company::r224_zurichinsurancegroup,industry::J
,classified_as,company::r225_bouygues,industry::E
,classified_as,company::r226_mizuhofinancialgroup,industry::J
,classified_as,company::r227_daimlertruckholding,industry::C
,classified_as,company::r228_inggroup,industry::J
,classified_as,company::r230_bungeglobal,industry::C
,classified_as,company::r231_anheuserbuschinbev,industry::C
,classified_as,company::r234_panasonicholdings,industry::C
,classified_as,company::r235_conocophillips,industry::B
,classified_as,company::r236_pfizer,industry::C
,classified_as,company::r241_tdsynnex公司,industry::F
,classified_as,company::r244_allstate,industry::J
,classified_as,company::r246_ciscosystems,industry::C
,classified_as,company::r247_repsol,industry::D
,classified_as,company::r248_lenovogroup,industry::C
,classified_as,company::r251_renault,industry::C
,classified_as,company::r252_bancobradesco,industry::J
,classified_as,company::r255_chartercommunications,industry::I
,classified_as,company::r258_bharatpetroleum,industry::D
,classified_as,company::r259_abbvie,industry::C
,classified_as,company::r260_newyorklifeinsurance,industry::J
,classified_as,company::r261_intel,industry::C
,classified_as,company::r262_tjx公司,industry::F
8,documents_standard_reference,report::r222_nvidia__20250__sustainabilityreport,standard_ref::batch_06__r222_nvidia__20250__sustainabilityreport__gri
,references_standard,standard_ref::batch_06__r222_nvidia__20250__sustainabilityreport__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_06__r222_nvidia__20250__sustainabilityreport__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_06__r222_nvidia__20250__sustainabilityreport__gri,standard_role::Disclosure standard
8,documents_standard_reference,report::r222_nvidia__20250__sustainabilityreport,standard_ref::batch_06__r222_nvidia__20250__sustainabilityreport__sasb
,references_standard,standard_ref::batch_06__r222_nvidia__20250__sustainabilityreport__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_06__r222_nvidia__20250__sustainabilityreport__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_06__r222_nvidia__20250__sustainabilityreport__sasb,standard_role::Disclosure guideline
8,documents_standard_reference,report::r222_nvidia__20250__sustainabilityreport,standard_ref::batch_06__r222_nvidia__20250__sustainabilityreport__tcfd
,references_standard,standard_ref::batch_06__r222_nvidia__20250__sustainabilityreport__tcfd,standard::TCFD
,belongs_to_standard_family,standard_ref::batch_06__r222_nvidia__20250__sustainabilityreport__tcfd,standard_family::Climate disclosure framework
,has_standard_role,standard_ref::batch_06__r222_nvidia__20250__sustainabilityreport__tcfd,standard_role::Disclosure recommendation
